id,question,answer,source_url
11,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/international-faqs
12,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/international-faqs
13,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/international-faqs
14,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/student-services/student-resources/covid19/international-faqs
15,How many programs can I apply to?,"You can indicate one program choice per application.  If you are not eligible for admission to your program of choice, you will be offered admission into a pathway program (or another program of choice) without having to re-apply to the college.",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
16,What is the fee to apply?,"$37.40 for Canadian/Permanent Residents. $100 for International students. Effective September 1, 2024 the Canadian/Permanent Resident fee will increase to $38.15",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
17,What is preferential admission?,Preferential admission is a selective admission process that uses a structured format to evaluate all applicants in relation to the admission criteria established for the program. Applicants are ranked according to the degree to which they have met the admission criteria. Date of application will be used only when one or more applicants have the same numeric ranking.,https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
18,How long is the wait-list for Douglas College Programs?,There is no wait-list for open enrolment or limited enrolment. For specific information please refer to the Douglas College Catalog .,https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
19,I got a letter saying I'm in the program. Why do I have to submit any documents and/or do testing?,"The first letter you received was an acknowledgment letter thanking you for your application and indicating it has been forwarded to an Admissions Officer for processing. The second letter you received outlined the admission requirements for the program to which you applied. Limited enrolment programs have specific admission requirements which must be completed before you can be admitted to the program. For details about specific programs, please refer to the Douglas College Catalog .",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
20,When will I hear that I have been accepted to or have a seat in the program?,"You will receive a letter from Douglas College acknowledging your application to a limited enrolment program approximately two to three weeks after submission. An Admissions Officer will advise you in writing of all admission requirements for the selected program. You must successfully complete all of the minimum academic admission requirements and interview (if applicable). Once these requirements are met, your name will remain on the list for an available seat in the program. Offers are made based on the ranking of an applicant in a pool of qualified candidates. Selected students who are being made a seat offer will receive notification in writing. Once an offer has been made, some programs require a medical, a criminal record search and a $350 non-refundable, non-transferable deposit to hold the seat for them. After these final requirements are met, the applicant will receive full acceptance to the program.",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
21,What if I don't get in this year? Do I have to reapply?,"If all admission requirements have been met for limited enrolment programs but a seat is not available, you must reapply to be considered for the next intake. You will be notified in writing once the admission process is complete and the program is full.",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
22,What if I'm an International student?,"For detailed and up-to-date information on International student applications, please visit the International Admissions section of the Douglas College website.",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
23,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
24,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
25,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
26,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
27,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/future-students/apply-douglas/domestic-students/admissions-faq
28,Credit Courses,For details please see the Grading Policy .,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
29,Non-Credit Courses,For details please see the Grading Policy .,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
30,Evaluation Policy,For details please refer to the evaluation policy.,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
31,Grade Point Average,"Grade Point Average There are 3 types of Grade Point Averages (GPA): Term GPA: This is the sum of the grade points earned in a semester divided by the number of credits taken in that semester Cumulative GPA: This is the sum of the grade points earned in all semesters divided by the total number of credits taken Program GPA: This is the sum of the grade points earned in all the courses used to meet the graduation requirement of the program divided by the total number of credits taken towards meeting that requirement The Term GPA and Cumulative GPA are reported on all transcripts and is a part of the official student record.  The Program GPA is not reported on the transcript and is not a part of the official student record. Calculation of Grade Point Average For each course taken, the grade point value of the mark is multiplied by the credit value of that course. The total number of grade points is divided by the total number of credits to obtain the GPA. The GPA is calculated only on courses taken for credit. A course or grade may not be deleted from the permanent record. However, if the student repeats a course, only the highest grade is used in the calculation for overall GPA. Note: Students who intend to transfer to another educational institution must realize that the other institution may recalculate the grade point average in accordance with its own policies. See Academic Performance policy .",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
32,Deans' List and Honour Roll,"The College recognizes outstanding academic achievement each semester. Students who complete a minimum of 9 credits in one semester and achieve a term GPA of 4.00 or better will be placed on the Dean's List.  The achievement will be noted on a student's Permanent Record (including the official transcript) and the student will receive a letter of congratulation from the College. Students who complete a minimum of 9 credits in one semester and achieve a term GPA of 3.50 to 3.99 will be placed on the Honour Roll.  This achievement will be noted on the student's Permanent Record (including the official transcript). Note: Dean's List and Honour Roll will only be applied if the student earns a GPA from the course work.  A student who takes a full semester of Mastery Graded courses (such as ELLA) may be excluded, as these courses do not count in a student's GPA. Additional Note: The policy as described above is effective Summer 2021.  Official transcripts will always reflect the Academic Performance Policy that was in place at the time the student attended.",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
33,Transfer of GPA and Advance Credit,"Transfer students should obtain information on the grading policies used at the institution to which they intend to transfer. Each institution has its own policy with respect to the method used to calculate the Grade Point Average when a failed course is repeated or when a course is repeated for higher standing. Other institutions do not necessarily include only the better grade in Grade Point Average calculations. Similarly, transfer students should also make themselves familiar with the policies and procedures of receiving institutions regarding the transfer of W, UN and F grades and the effect on the Grade Point Average calculation used for admission of transfer students. Transfer credit awarded by Douglas College is also reviewed by the receiving institution and some changes may be made according to the policy and procedure of the receiving institution. Students are responsible for initiating requests for incomplete grades and will contact their instructors to negotiate incomplete contracts after the ninth week of a semester-based class and before final grades are due in the semester. (Deadlines will be pro-rated for courses of shorter duration).",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
34,I [Incomplete] Grade,"The ‘I’ grade allows students to defer course deadlines. It assists responsible students to carry out their commitments; it is not intended to encourage students to procrastinate. It is reasonable, therefore, to expect it to be used infrequently. Guidelines used are: The following criteria are used by instructors in deciding whether to agree to a contract: Previous work in the course should have been at a reasonably satisfactory level, The student has been prevented from completing requirements by some unusual circumstance, such as beginning a project which turns out to be more time-consuming than anticipated, or An emergency situation such as illness or accident has prevented the student from completing one or more of the course requirements. Most students are expected to complete their I contracts within two to four weeks after they are made but instructors can allow up to four months from the date the grade is assigned. There is no limit to the number of I grades that a student may carry. I contracts must be submitted to Enrolment Services immediately after the course is graded. I grades do not satisfy prerequisite requirements.",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
35,Mastery Grading System,"Some courses are designated by the College as Mastery courses. These courses demand a clearly-defined high standard of performance. The student must demonstrate complete mastery of all knowledge and/or performance requirements. Because of their nature, they are not included in calculating the grade point average.",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
36,Academic Integrity,"The College values academic integrity and honesty. Intellectual honesty is paramount to the functioning of any educational institution. The presentation of others' ideas, material or information as one's own, the unauthorized use on exams of material, aids, or other techniques which falsify academic work is unacceptable behaviour. Academic dishonesty will be treated as a serious offense against the College community. Discipline will range from a zero grade in the exam or assignment in which the offense occurred, to failure of the entire course, to suspension from the College, to expulsion from the College. The degree of discipline will depend on the severity of the situation and number of confirmed violations. For full details please refer to the Academic Integrity Policy .",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
37,Academic Probation,Please review our Academic Probation webpage for full details,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
38,Final Grades,"Students must check their MyAccount for official confirmation of semester grades. Note: All obligations relating to fees, library books, rentals or borrowed equipment must be met before any statement of grades, transcript or diploma is released. Errors or omissions concerning grades should be reported immediately to Enrolment Services. While infrequent, errors in grade calculation and reporting can occur and grades may be changed for a variety of reasons, up to one year from the date the grade is initially assigned. Students pursuing a Final Grade Appeal must submit all documentation by no later than ten (10) business days following the end of the term in which the grade was awarded.",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
39,Transcripts,"A transcript is a summary of courses and grades for all semesters for which a student has registered. Official transcripts bear the official signature and College seal. Application for transcripts should be made in writing to Enrolment Services or through MyAccount at least one week before they are required. There is a charge for this service (see Fee Schedule ). Picture identification is required when picking up the transcripts. Since student records are confidential, an official transcript is issued only upon the student's request. No transcript is issued until satisfactory arrangements have been made with the College regarding outstanding debts, library books and College equipment.",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
40,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
41,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
42,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
43,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
44,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/current-students/important-dates-information/grading-faq
45,Does Douglas College accept in-person tuition payments?,In-person tuition payments are not accepted. Our easiest and most preferred method of payment is making a bill payment using your online banking/mobile app .,https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
46,What types of payments does Douglas College not accept?,cash credit cards for domestic tuition payments Visa or MasterCard debit products for online payments email money transfers traveller's and personal cheques,https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
47,Can I transfer tuition fees?,"Tuition fees are not transferable to another semester, nor are they transferable to another student. For more information, please refer to the refund policy.",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
48,Will I get an income tax deduction for all of the fees I pay?,Only tuition fees and the registration and services fee are eligible for income tax deduction.,https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
49,"If I have not made any payments towards my account and I decide to drop courses once the semester starts, will I owe any fees?","Regardless of whether payment is made or not, you may owe the 50% tuition penalty for dropping courses during the 8th and 14th calendar day of the semester and if you drop the course after the first two weeks of the semester you will owe 100% of the course tuition.  The amount owed will be determined by the date and number of credits dropped.",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
50,Will I receive an invoice for my tuition fees at Douglas College?,"Douglas College does not send out invoices (bills) indicating how much and when tuition is due. To check for an accurate balance owing, log in to myAccount and choose Registration, View Tuition Fees.",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
51,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
52,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
53,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
54,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
55,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/current-students/enrolment-services/fees-related-information/fees-faq
56,What is course planning?,Course planning is how we help students determine which courses are required for their program and any future program they may be interested in.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
57,What are prerequisites and corequisites?,A prerequisite is a requirement (often a course) that must be completed before a course can be taken. A corequisite is a course that must be taken at the same time or before the course.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
58,Are there any tests available if I don’t have the prerequisite course?,"We offer assessment tests for Math, English and Program Readiness requirements. Please visit the assessment testing page for further information.",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
59,Are there upgrading options for English and Math?,"Yes, Douglas College offers English and Math upgrading designed to help you upgrade your education and skills, and also prepare for entry to college-level courses and programs. Please read over the program page carefully to see if the options are suitable for your needs.",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
60,How do I calculate my GPA for my Douglas College courses?,"Use the GPA calculator to determine your current GPA. If you repeat a course, the higher grade will be used in your calculation at Douglas College. You can also find your GPA on your unofficial transcript by logging into My Account .",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
61,"What is considered an arts, science, stats, lab science, or a first or second year course?",Please review our associate of arts checklist for definitions on all of these courses.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
62,Which Geography courses are considered Arts and which one's are Science courses?,"The following are Arts: GEOG: 1100, 1130, 1140, 1150, 1160, 1170, 1180, 1190, 2212, 2213, 2270, 2281, 2311, 3327, 3361, and 3382 The following Human Geography courses are considered Science: GEOG: 1110, 1120, 2210, 2220, 2230, 2251 (also Stats), and 3311",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
63,What if I don’t know which program or career to choose?,See a career counsellor for help with planning your career goals.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
64,Which programs are offered at Douglas College?,You can view a list of the programs we offer on the program and course catalogue .,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
65,How can I find out more information about a program?,You can attend an information session or you can contact the department.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
66,I am almost done my program. How do I apply to graduate?,"You should apply to graduate after you have enrolled in your final term of courses. You can apply by completing the online graduation application found on myAccount under ""Student Records"". Learn more from our graduation page .",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
67,What is UT?,"UT stands for university transfer. A course is considered to be university transferable if it transfers for credit to one of the five research universities: SFU, UBC-V, UBC-O, UNBC, or UVIC (at the time the course is taken). This information can be found using the BC Transfer Guide .",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
68,"I'm interested in transferring to a university, how should I plan my courses?",Please review our University Transfer page for more information on how to plan for your transfer.  We encourage students to meet with a Student Success Advisor early to plan a successful transfer.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
69,Can I get credit at Douglas College for courses I have taken at another institution?,Transfer Credit is possible for courses taken at another institution. Consult the BC Transfer Guide to see if a course transfers to/from Douglas College. Read over our Transfer Credit page for more information on initiating the process.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
70,Will other universities and colleges calculate my GPA differently?,"Yes, every institution will calculate the grade point average (GPA) in accordance with its own policies. Please review the institution’s website to see the current policies.",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
71,"Where can I get more information on student loans, grants, awards, scholarships, and bursaries?",Please contact our Financial Aid department to get detailed information about these topics.,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
72,Still have questions? We can help.,"If you are a prospective student that has yet to apply or are newly admitted and about to start your first semester at Douglas College, you can email Enrolment Services via a webform . Students who are attending classes, are encouraged to contact their assigned Student Success Advisor (SSA) directly by visiting myAccount , and clicking on the ""Student Profile"" link on the main menu. Click on the name under ""Advisors"" to see your SSA's contact information. Note: Students will be assigned an SSA once they begin their first semester classes. If you don’t know who your advisor is yet, please fill out the Student Success Advisor Form to submit your question. Remember to include all relevant information, such as program and specific academic plans or goals. More detailed or urgent inquiries are better addressed with an advising appointment.",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
73,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
74,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
75,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
76,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
77,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/current-students/advising-services/advising-services/advising-services-faq
78,How many counselling appointments can I book?,You can book one appointment at a time. The number of sessions needed will vary for each situation; you and your counsellor will discuss how many sessions you may need.,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
79,What can I expect in the first meeting?,"You’ll begin your meeting with a review of our Information and Consent to Counsel Form , and you’ll be able to ask any questions you have about the counselling process. Then, you’ll be invited to share what brings you in and begin exploring  it with your counsellor. At the end, you’ll discuss counselling goals for moving forward. Your counsellor can also help you book your next appointment if further sessions would be beneficial for you.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
80,Is counselling only for people with serious mental health concerns or diagnoses?,"No! Counselling can be extremely helpful for dealing with everyday concerns that you might need support with, from stress about juggling your course load to struggles in a relationship.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
81,I’m an international student. Is counselling available to me?,"Absolutely! Counselling is available to all registered Douglas College students residing in B.C. International students may face unique challenges that could benefit from counselling support. Please note that counselling support is limited for students studying virtually from their home countries. If you are studying from your home country, you are eligible to attend any of the virtual counselling workshops or drop-in groups. You can also request one-on-one counselling support for Douglas College-specific academic concerns, such as appeals, probation, exception requests and complaints. Check out our resources page for external counselling support services that you may be eligible to access.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
82,"I'm a non-credit student (e.g training group, continuing education, prospective student). Is counselling available to me?",Counselling is available to registered students in Douglas College credit courses only. Please check with your program coordinator/administrator for built in support options that may be tailored for your program. You may also consider our list of community resources for organizations that can provide 24/7 crisis assistance and/or support for specific mental health-related concerns.,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
83,"What is the difference between the support services offered by counsellors, student success advisors and career coaches?","Review the statements below to determine who would be best able to assist you. I am... I should talk to... I don’t know... I should contact... I want... I should ask... not sure which field of study or career would be best for me. indecisive about my future life goals. not doing well academically in my current program and wondering if I should change directions. not sure if I’m making good choices for my future. struggling to handle my course load and worried I will not be successful. feeling down and unmotivated in my current program. on academic probation and blocked from registering for my classes. withdrawing from my course after the deadline and need help submitting an exception request for a refund/late withdrawal. the Counsellors in the Counselling Department. what the requirements are for admission to Douglas/my program of choice. how to apply to a Douglas College program how to complete the prerequisites requirements for a program or course. which program I should pursue to achieve my career goals. I need to drop a course and would like to revise my educational plan. I would like to transfer my courses to another post-secondary institution. whether I need to take an assessment test for a specific program/course. what courses I need to graduate from my program or to transfer to another institution. why I can’t register for a specific course. what to do now that I am on academic probation and blocked from registering for my classes. how to interpret Douglas College policies. how to pay for my education. how to apply for a student loan. if there are any scholarships that I am eligible for. what to do if the course I need is full. my Student Success Advisor in Enrolment Services; visit your myAccount to find their contact information. help finding a job. more information on a specific career, such as job prospects or what to expect in a certain occupation. help practicing my interviewing skills. help writing a resumé and/or cover letter to apply for jobs. to learn more about how to network to make connections with potential employers and advance my career opportunities. to know what career options I have with my degree or diploma. resources for researching job options. to know what kind of skills I need to get into my career. help setting up a LinkedIn account. to learn more about workplace culture and communications. to learn about career development. to meet with potential employers through recruiting, networking and job fairs. to learn more about Co-operative Education. help starting out in my career. to meet with someone in my industry to learn more about it and don't know how to get started. the Career Coaches in the Career Centre",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
84,How quickly can I get an appointment?,"Counselling appointments are typically booked one to two weeks ahead, and certain times of the semester are busier than others. If you are in crisis or concerned for your safety, please explain your situation to reception when you phone and request a “same-day urgent appointment.” We have a few time slots set aside each day for urgent situations. We do not maintain a cancellation list; if you have a time-sensitive matter that is not eligible for an urgent appointment, we invite you to sit in the department’s waiting area or check back with reception in the event that another student cancels their appointment.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
85,Do I need to prepare anything for my appointment?,"No, you do not need to prepare anything. However, we advise you to read the Information and Consent to Counsel Form prior to your session. Your counsellor will go over this when you arrive, so it will speed up the process if you are already familiar with it.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
86,"Can I bring a support person (friend, parent, etc.) with me to my appointment?","Yes. However, if you do decide to bring someone, we cannot guarantee the confidentiality of the session as that individual is not legally bound in the same way your counsellor is.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
87,What if the counsellor I meet with is not a good fit?,"We encourage you to keep meeting with the same counsellor to allow for better continuity of care. The more familiar your counsellor is with your situation, the more equipped they are to respond to your needs and achieve results. However, the counselling relationship is also important, so if you aren’t connecting well with someone, you are welcome to ask reception to schedule an appointment with another counsellor. Review our team’s bios and see if someone stands out to you as a possible better fit.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
88,I’m not taking any classes this semester. Can I book an appointment?,"You need to be a current Douglas College student registered in courses and residing in B.C. to book an appointment for personal or career counselling. If your program has a scheduled break (e.g. you are taking the Summer Semester off, but returning for Fall), then you remain eligible to book a counselling session during that break period. Please note: if you need support related to academic probation, which has prevented you from registering for classes, please contact us (regardless of whether you are studying locally or remotely) to review how we may be able to serve you.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
89,What can I talk about in my appointment? Can I talk about several topics in one session?,"You are welcome to bring up any topic of concern, and in some cases seemingly unrelated topics may be intertwined. Your counsellor will let you know if something is beyond their scope of practice and support you in finding resources elsewhere.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
90,What information do I need to provide to book an appointment?,"Your name, student number, the type of counselling – personal, career or academic – you are seeking support for and a brief explanation of your concerns. Refer to the list of statements on our counselling home page for examples of counselling topics. If you have concerns for your safety or the matter is time-sensitive, please let reception know.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
91,Will I be able to work with a counsellor who understands my identity and background?,All our counsellors are experienced in working with students from diverse backgrounds and life experiences. Please review our counsellor bios and advise reception if you would like to meet with a specific counsellor.,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
92,"What is the difference between counsellors, psychiatrists and psychologists?",All three are mental health professionals. Psychiatrists are medical doctors and can prescribe medication. Psychologists typically have doctoral degrees in clinical or counseling psychology; they tend to see individuals with serious mental health concerns and are trained to provide psychological assessments. Douglas College counsellors have master's degrees in counselling psychology and work from a perspective of supporting students with overall wellness. We do not provide mental health assessments or prescribe medication.,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
93,Can counsellors provide medical or career assessments?,"We do not provide mental health or psychoeducational assessments. Our counsellors can, however, assist with assessing your interests, values, skills and personality for the purposes of career/educational decision-making. Career assessments are typically done in a group format using standardized tools, but a less formal individual assessment is possible.",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
